date,product,price,quantity,customer_state
2024-01-15,Laptop,999.99,2,CA
2024-01-16,Mouse,29.99,5,NY
2024-01-17,Keyboard,79.99,1,TX
2024-01-18,Monitor,299.99,3,FL
2024-01-19,Laptop,999.99,1,CA
2024-01-20,Headphones,159.99,2,WA
2024-01-21,Mouse,29.99,10,NY
2024-01-22,Tablet,449.99,1,CA
2024-01-23,Keyboard,79.99,2,TX
2024-01-24,Monitor,299.99,1,FL
2024-01-25,Laptop,999.99,4,WA
2024-01-26,Headphones,159.99,3,CA
2024-01-27,Mouse,29.99,8,NY
2024-01-28,Tablet,449.99,2,TX
2024-01-29,Monitor,299.99,1,FL
2024-01-30,Keyboard,79.99,3,CA
2024-02-01,Laptop,999.99,1,WA
2024-02-02,Headphones,159.99,1,NY
2024-02-03,Mouse,29.99,15,TX
2024-02-04,Tablet,449.99,1,FL
